"id","vehicle_id","trip_id","timestamp","latitude","longitude","bearing","origin","destination","route_name","direction","operator"
23845155,"4720","1095","2026-01-26 16:11:29",53.40753,-2.982151,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23845550,"4720","1095","2026-01-26 16:11:31",53.40753,-2.982151,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23845946,"4720","1095","2026-01-26 16:12:04",53.407643,-2.981873,72,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23847129,"4720","1095","2026-01-26 16:12:27",53.407913,-2.981376,43,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23848302,"4720","1095","2026-01-26 16:12:58",53.408001,-2.98131,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23849476,"4720","1095","2026-01-26 16:13:31",53.408031,-2.981298,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23850644,"4720","1095","2026-01-26 16:14:02",53.408021,-2.981205,68,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23851033,"4720","1095","2026-01-26 16:14:13",53.407943,-2.980405,106,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23852200,"4720","1095","2026-01-26 16:14:45",53.407801,-2.980266,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23853377,"4720","1095","2026-01-26 16:15:16",53.407663,-2.979515,52,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23854943,"4720","1095","2026-01-26 16:15:49",53.40918,-2.978513,27,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23856119,"4720","1095","2026-01-26 16:16:20",53.409446,-2.97736,67,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23857280,"4720","1095","2026-01-26 16:16:53",53.409391,-2.975488,67,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23858426,"4720","1095","2026-01-26 16:17:27",53.409446,-2.975435,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23859956,"4720","1095","2026-01-26 16:18:00",53.409446,-2.975435,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23860729,"4720","1095","2026-01-26 16:18:21",53.40936,-2.973701,102,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23861896,"4720","1095","2026-01-26 16:18:46",53.409276,-2.973323,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23862287,"4720","1095","2026-01-26 16:18:54",53.409276,-2.973323,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23862677,"4720","1095","2026-01-26 16:19:07",53.409268,-2.973316,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23863848,"4720","1095","2026-01-26 16:19:37",53.409103,-2.972236,100,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23865007,"4720","1095","2026-01-26 16:20:09",53.409138,-2.970368,17,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23865783,"4720","1095","2026-01-26 16:20:31",53.40965,-2.97056,46,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23866565,"4720","1095","2026-01-26 16:20:47",53.40993,-2.970323,51,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23866953,"4720","1095","2026-01-26 16:20:57",53.409933,-2.970268,51,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23867344,"4720","1095","2026-01-26 16:21:03",53.409933,-2.970226,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23868124,"4720","1095","2026-01-26 16:21:34",53.409993,-2.97004,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23868912,"4720","1095","2026-01-26 16:21:55",53.410068,-2.969766,73,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
